"area","key","portugues_pt","english_en"
"feedback","feedback.invalidPredictionChain","Revise a chave: há palpite em confronto sem jogador definido.","Review the bracket: a prediction points to an undefined matchup."
"language","language.label","Idioma","Language"
"language","language.pt","Português","Português"
"language","language.en","English","English"
"language","language.switchTo","Mudar idioma","Switch language"
"common","common.loading","Carregando...","Loading..."
"common","common.error","Erro","Error"
"common","common.success","Sucesso","Success"
"common","common.cancel","Cancelar","Cancel"
"common","common.close","Fechar","Close"
"common","common.search","Buscar","Search"
"common","common.noResults","Nenhum resultado encontrado","No results found"
"common","common.points","Pontos","Points"
"common","common.hits","Acertos","Correct picks"
"common","common.accuracy","Precisão","Accuracy"
"common","common.you","Você","You"
"common","common.youUpper","VOCÊ","YOU"
"common","common.participants","{count} participantes","{count} participants"
"common","common.participantOne","1 participante","1 participant"
"common","common.tournamentOne","torneio","tournament"
"common","common.tournamentOther","torneios","tournaments"
"common","common.memberOne","membro","member"
"common","common.memberOther","membros","members"
"common","common.ofPredictions","de {count} palpites","of {count} predictions"
"common","common.inProgress","em andamento","in progress"
"common","common.requiredFields","Campos com * são obrigatórios","Fields marked with * are required"
"common","common.updating","Atualizando...","Updating..."
"common","common.searching","Buscando...","Searching..."
"common","common.processing","Processando...","Processing..."
"common","common.brandName","TennisPool","TennisPool"
"status","status.standby","Standby","Standby"
"status","status.draft","Rascunho","Draft"
"status","status.upcoming","Em breve","Coming up"
"status","status.open","Aberto para palpites","Open for predictions"
"status","status.active","Ativo","Active"
"status","status.published","Ativo","Active"
"status","status.locked","Palpites fechados","Predictions closed"
"status","status.inProgress","Em andamento","In progress"
"status","status.finished","Finalizado","Finished"
"status","status.scheduled","Agendado","Scheduled"
"status","status.preparingBracket","Preparando chaveamento","Preparing bracket"
"surfaces","surfaces.Hard","Quadra dura","Hard court"
"surfaces","surfaces.Clay","Saibro","Clay"
"surfaces","surfaces.Grass","Grama","Grass"
"surfaces","surfaces.hardCourt","Quadra dura","Hard court"
"home","home.login","Entrar","Log in"
"home","home.getStarted","Começar Agora","Get started"
"home","home.heroTitle","Faça seus palpites e","Make your predictions and"
"home","home.heroTitleHighlight","ganhe pontos","earn points"
"home","home.heroSubtitle","Participe do grupo, dê seus palpites nos maiores torneios de tênis do mundo e dispute com seus amigos no ranking.","Join the pool, predict the biggest tennis tournaments in the world, and compete with your friends on the leaderboard."
"home","home.featuredTitle","Torneios em destaque","Featured tournaments"
"home","home.featuredSubtitle","Inscreva-se e comece a fazer seus palpites agora mesmo","Sign up and start making your predictions right away"
"home","home.viewAll","Ver todos","View all"
"home","home.howBadge","Simples e rápido","Simple and fast"
"home","home.howTitle","Como funciona","How it works"
"home","home.step1Title","Crie sua conta","Create your account"
"home","home.step1Desc","Cadastre-se gratuitamente e entre na disputa.","Sign up for free and join the competition."
"home","home.step2Title","Escolha o torneio","Pick a tournament"
"home","home.step2Desc","Selecione um torneio ativo e escolha participar de um grupo ou criar o seu próprio.","Choose an active tournament and join a group or create your own."
"home","home.step3Title","Faça seus palpites","Make your predictions"
"home","home.step3Desc","Escolha, de uma vez, o vencedor de cada partida até o campeão e acumule pontos progressivos com seus acertos.","Pick the winner of every match up to the champion and earn progressive points for correct picks."
"home","home.step4Title","Suba no Ranking","Climb the ranking"
"home","home.step4Desc","Dispute o topo do ranking nacional e do seu estado com outros participantes.","Compete for the top of the national and state rankings with other participants."
"home","home.stepLabel","Passo 0{n}","Step 0{n}"
"home","home.testimonialsBadge","Depoimentos","Testimonials"
"home","home.testimonialsTitle","O que dizem nossos participantes","What our participants say"
"home","home.testimonialRole","Participante desde 2026","Participant since 2026"
"home","home.t1","A plataforma é incrível! Interface intuitiva e acompanhar o ranking em tempo real dá um gás a mais na competição.","The platform is amazing! Intuitive interface and real-time ranking makes the competition even more exciting."
"home","home.t2","Adoro a facilidade de dar os palpites. O sistema de pontos é justo e muito divertido de competir com os amigos.","I love how easy it is to make predictions. The scoring system is fair and so much fun competing with friends."
"home","home.t3","Melhor grupo de tênis que já participei. Todo Grand Slam eu tô aqui firme e forte. Recomendo demais!","Best tennis pool I've ever joined. Every Grand Slam I'm here. Highly recommend!"
"home","home.ctaTitle","Pronto para entrar no jogo?","Ready to join the game?"
"home","home.ctaSubtitle","Cadastre-se agora e comece a pontuar nos maiores torneios do tênis mundial.","Sign up now and start scoring points at the biggest tennis tournaments in the world."
"home","home.ctaRegister","Quero me cadastrar","I want to sign up"
"home","home.ctaLogin","Já tenho uma conta","I already have an account"
"home","home.footerCopyright","© {year} TennisPool. Todos os direitos reservados.","© {year} TennisPool. All rights reserved."
"home","home.footerDisclaimer","Este site não é oficial e não é afiliado à ATP ou aos torneios citados.","This site is not official and is not affiliated with the ATP or the tournaments mentioned."
"home","home.createAccount","Criar minha conta","Create my account"
"home","home.howItWorks","Como funciona","How it works"
"auth","auth.tagline","Viva o jogo","Live the game"
"auth","auth.backToHome","Voltar à página inicial","Back to home"
"auth","auth.loginTitle","Bem-vindo de volta","Welcome back"
"auth","auth.loginSubtitle","Entre na sua conta para fazer seus palpites ou acompanhar os resultados.","Sign in to your account to make predictions or follow the results."
"auth","auth.noAccount","Ainda não tem uma conta?","Don't have an account yet?"
"auth","auth.signUpLink","Cadastre-se","Sign up"
"auth","auth.loginSubmit","Entrar","Log in"
"auth","auth.loginSubmitting","Entrando...","Signing in..."
"auth","auth.forgotPassword","Esqueci minha senha","Forgot password?"
"auth","auth.registerTitle","Criar sua conta","Create your account"
"auth","auth.registerSubtitle","Junte-se a milhares de fãs e comece a pontuar agora mesmo.","Join thousands of fans and start scoring right away."
"auth","auth.hasAccount","Já tem uma conta?","Already have an account?"
"auth","auth.loginLink","Entrar","Log in"
"auth","auth.registerSubmit","Criar conta","Create account"
"auth","auth.registerSubmitting","Criando conta...","Creating account..."
"auth","auth.email","E-mail","Email"
"auth","auth.password","Senha","Password"
"auth","auth.name","Nome *","Name *"
"auth","auth.nickname","Apelido (visível no site)","Nickname (visible on the site)"
"auth","auth.emailRequired","E-mail *","Email *"
"auth","auth.passwordRequired","Senha *","Password *"
"auth","auth.whatsapp","WhatsApp","WhatsApp"
"auth","auth.firstNameOnly","Apenas o primeiro nome","First name only"
"auth","auth.nicknameHint","Seu nome real ficará privado, apenas este apelido será exibido publicamente","Your real name stays private; only this nickname is shown publicly"
"auth","auth.passwordHint","Mínimo de 6 caracteres","At least 6 characters"
"auth","auth.requiredFields","Campos com * são obrigatórios","Fields marked with * are required"
"auth","auth.nonBrazilHint","Para outros países, estado e cidade não são necessários.","For other countries, state and city are not required."
"auth","auth.stateCityRequired","Estado e cidade são obrigatórios para Brasil.","State and city are required for Brazil."
"auth","auth.invalidEmail","Por favor, insira um email válido.","Please enter a valid email."
"auth","auth.passwordMinLength","A senha deve conter pelo menos 6 caracteres.","Password must be at least 6 characters."
"auth","auth.completeTitle","Complete seu Cadastro","Complete your registration"
"auth","auth.completeDescription","Para continuarmos, precisamos que você informe seu clube e país. Estado e cidade são necessários apenas para Brasil.","To continue, we need your club and country. State and city are only required for Brazil."
"auth","auth.completeSubmit","Salvar e Continuar","Save and continue"
"auth","auth.completeSubmitting","Salvando...","Saving..."
"auth","auth.completeSuccess","Perfil atualizado com sucesso!","Profile updated successfully!"
"auth","auth.completeError","Erro ao atualizar perfil","Error updating profile"
"auth","auth.resetTitle","Recuperar Senha","Reset password"
"auth","auth.resetEmailDesc","Informe seu e-mail para receber o código de recuperação.","Enter your email to receive a recovery code."
"auth","auth.resetCodeDesc","Digite o código de 5 caracteres enviado para o seu e-mail.","Enter the 5-character code sent to your email."
"auth","auth.resetNewPasswordDesc","Escolha sua nova senha de acesso.","Choose your new password."
"auth","auth.resetEmailPlaceholder","exemplo@email.com","you@email.com"
"auth","auth.resetSendCode","Enviar Código","Send code"
"auth","auth.resetSending","Enviando...","Sending..."
"auth","auth.resetVerifyCode","Verificar Código","Verify code"
"auth","auth.resetVerifying","Verificando...","Verifying..."
"auth","auth.resetNewPassword","Nova Senha","New password"
"auth","auth.resetPasswordPlaceholder","Mínimo 6 caracteres","At least 6 characters"
"auth","auth.resetConfirmPassword","Confirmar Nova Senha","Confirm new password"
"auth","auth.resetSubmit","Alterar Senha e Entrar","Change password and sign in"
"auth","auth.resetSubmitting","Alterando...","Updating..."
"auth","auth.resetSuccess","Senha alterada com sucesso!","Password changed successfully!"
"auth","auth.passwordMismatch","As senhas não coincidem.","Passwords do not match."
"auth","auth.passwordMin6","A senha deve ter pelo menos 6 caracteres.","Password must be at least 6 characters."
"auth","auth.quote1","“No tênis, cada ponto conta uma história — de foco, coragem e paixão.”","“In tennis, every point tells a story — of focus, courage, and passion.”"
"auth","auth.quote2","“Entre linhas e silêncios, o tênis revela quem você é quando a bola volta.”","“Between lines and silence, tennis shows who you are when the ball comes back.”"
"auth","auth.quote3","“O jogo começa antes do saque.”","“The game starts before the serve.”"
"auth","auth.quote4","“No tênis, a mente é tão afiada quanto a raquete.”","“In tennis, the mind is as sharp as the racket.”"
"auth","auth.quote5","“Cada partida é uma nova chance de se reinventar.”","“Every match is a new chance to reinvent yourself.”"
"dashboard","dashboard.availableTournaments","Torneios disponíveis","Available tournaments"
"dashboard","dashboard.availableSubtitle","Alguns torneios estão acontecendo agora. Participe e mostre o quanto você entende de tênis!","Some tournaments are live now. Join in and show your skills!"
"dashboard","dashboard.viewAll","Ver todos","View all"
"dashboard","dashboard.noTournaments","Nenhum torneio disponível no momento.","No tournaments available right now."
"dashboard","dashboard.heroTitle","Faça seus palpites e","Make your predictions and"
"dashboard","dashboard.heroTitleHighlight","ganhe pontos","earn points"
"dashboard","dashboard.heroSubtitle","Participe do grupo, dê seus palpites nos jogos e dispute com seus amigos no ranking.","Join the pool, predict the matches, and compete with your friends on the leaderboard."
"dashboard","dashboard.welcome","Bem-vindo, {name}.","Welcome, {name}."
"dashboard","dashboard.statsPoints","Seus Pontos","Your points"
"dashboard","dashboard.statsHits","Acertos","Correct picks"
"dashboard","dashboard.statsOfPredictions","de {count} palpites","of {count} predictions"
"dashboard","dashboard.statsAccuracy","Precisão","Accuracy"
"dashboard","dashboard.statsTournaments","Torneios","Tournaments"
"dashboard","dashboard.statsInProgress","em andamento","in progress"
"dashboard","dashboard.rankingGeneral","Ranking Geral","Overall ranking"
"dashboard","dashboard.top5","Top 5","Top 5"
"dashboard","dashboard.noParticipants","Nenhum participante ainda","No participants yet"
"dashboard","dashboard.you","Você","You"
"dashboard","dashboard.points","Pontos","Points"
"dashboard","dashboard.prizeOpen","Abrir prêmio do torneio","Open tournament prize"
"dashboard","dashboard.prizeAvailable","Prêmio disponível","Prize available"
"dashboard","dashboard.prizeInPlay","Prêmio em jogo","Prize in play"
"dashboard","dashboard.prizeWinnerGets","O vencedor recebe","The winner receives"
"dashboard","dashboard.prizeViewTournament","Ver torneio","View tournament"
"tournaments","tournaments.title","Torneios","Tournaments"
"tournaments","tournaments.subtitle","Participe dos maiores torneios do tênis mundial","Join the biggest tennis tournaments in the world"
"tournaments","tournaments.available","Disponíveis","Available"
"tournaments","tournaments.sectionActive","Torneios ativos","Active tournaments"
"tournaments","tournaments.sectionFinished","Torneios finalizados","Finished tournaments"
"tournaments","tournaments.sectionUpcoming","O que vem por aí","Coming up"
"tournaments","tournaments.noActiveTitle","Nenhum torneio ativo no momento","No active tournaments right now"
"tournaments","tournaments.noActiveBody","Assim que um torneio for aberto para palpites, ele aparecerá aqui. Enquanto isso, veja os próximos torneios já agendados.","As soon as a tournament opens for predictions, it will show up here. Meanwhile, check the upcoming scheduled tournaments."
"tournaments","tournaments.viewUpcoming","Ver o que vem por aí","See what's coming"
"tournaments","tournaments.notFoundTitle","Nenhum torneio encontrado","No tournaments found"
"tournaments","tournaments.notFoundBody","Não encontramos torneios que correspondam aos filtros selecionados.","We couldn't find tournaments matching the selected filters."
"tournaments","tournaments.viewingBracket","Visualizando Chave","Viewing bracket"
"tournaments","tournaments.bracket","Chaveamento","Bracket"
"tournaments","tournaments.enrolledCta","Inscrito - Faça seus palpites!","Enrolled — make your predictions!"
"tournaments","tournaments.rulesLink","Regras do Torneio","Tournament rules"
"tournaments","tournaments.backToRanking","Voltar ao Ranking","Back to ranking"
"tournaments","tournaments.viewingPredictionsOf","Você está visualizando os palpites de","You are viewing predictions by"
"tournaments","tournaments.userFallback","Usuário","User"
"tournaments","tournaments.enrollmentConfirmed","Inscrição confirmada!","Enrollment confirmed!"
"tournaments","tournaments.awaitingBracket","Aguardando divulgação do chaveamento por parte da ATP. 🎾","Waiting for the ATP to publish the draw. 🎾"
"tournaments","tournaments.enrolledOne","inscrito","enrolled"
"tournaments","tournaments.enrolledOther","inscritos","enrolled"
"tournaments","tournaments.inTournament","no Torneio","in the tournament"
"tournaments","tournaments.predictionsWhenBracket","✅ Os palpites serão liberados assim que a chave inicial sair.","✅ Predictions open as soon as the initial draw is published."
"tournaments","tournaments.bracketAfterQualifying","⌛ A chave completa será finalizada após o Qualifying, geralmente um dia antes do torneio.","⌛ The full draw is finalized after Qualifying, usually one day before the tournament."
"tournaments","tournaments.comeBackAround","Volte aqui por volta de:","Check back around:"
"tournaments","tournaments.userNoPredictionTitle","Palpite do usuário não foi registrado","No prediction submitted"
"tournaments","tournaments.userNoPredictionBody","Este usuário não registrou palpites para este torneio.","This user did not submit predictions for this tournament."
"tournaments","tournaments.searchLabel","Buscar torneios","Search tournaments"
"tournaments","tournaments.searchPlaceholder","Ex: Roland Garros, Wimbledon...","E.g. Roland Garros, Wimbledon..."
"tournaments","tournaments.category","Categoria","Category"
"tournaments","tournaments.allCategories","Todas as categorias","All categories"
"tournaments","tournaments.clear","Limpar","Clear"
"tournaments","tournaments.filterActive","Ativos","Active"
"tournaments","tournaments.filterUpcoming","O que vem por aí","Coming up"
"tournaments","tournaments.filterUpcomingShort","Próximos","Upcoming"
"tournaments","tournaments.filterFinished","Finalizados","Finished"
"tournaments","tournaments.updating","Atualizando...","Updating..."
"tournaments","tournaments.enrollBannerTitle","Participe do Grupo!","Join the pool!"
"tournaments","tournaments.enrollBannerBody","Inscreva-se para fazer seus palpites no chaveamento completo do {name}.","Sign up to predict the full bracket of {name}."
"tournaments","tournaments.enrollCta","Inscrever-se","Enroll"
"tournaments","tournaments.enrollError","Erro ao realizar inscrição","Error enrolling"
"tournaments","tournaments.enrollConnectionError","Erro de conexão ao realizar inscrição","Connection error while enrolling"
"tournaments","tournaments.enrollModalTitle","Participar do Grupo","Join the pool"
"tournaments","tournaments.enrollModalDescription","Inscreva-se no grupo de {name} e dispute com outros participantes!","Join the {name} pool and compete with other participants!"
"tournaments","tournaments.enrollStep1","Confirme sua inscrição no botão abaixo para entrar na disputa deste torneio.","Confirm your enrollment below to enter this tournament."
"tournaments","tournaments.enrollStep2","Após a inscrição, você poderá iniciar os palpites nos jogos já confirmados.","Once enrolled, you can start predicting confirmed matches."
"tournaments","tournaments.enrollStep3","Assim que os classificados do qualifying forem inseridos na chave principal, você poderá completar os palpites restantes.","When qualifiers are placed in the main draw, you can complete the remaining predictions."
"tournaments","tournaments.enrollViewRules","Ver regras completas de pontuação","View full scoring rules"
"tournaments","tournaments.enrollProcessing","Processando inscrição...","Processing enrollment..."
"tournaments","tournaments.enrollSuccessTitle","Inscrição confirmada!","Enrollment confirmed!"
"tournaments","tournaments.enrollSuccessBody","Agora você pode fazer seus palpites.","You can now make your predictions."
"tournaments","tournaments.headerStartsAt","Início às","Starts at"
"tournaments","tournaments.headerCategory","Categoria","Category"
"tournaments","tournaments.headerEnrolled","Inscritos","Enrolled"
"tournaments","tournaments.headerPrize","Prêmio","Prize"
"tournaments","tournaments.podiumFinished","Pódio do Torneio","Tournament podium"
"tournaments","tournaments.podiumLive","Liderança Atual","Current leaders"
"tournaments","tournaments.rankingEmptyTitle","Nenhum palpite ainda","No predictions yet"
"tournaments","tournaments.rankingEmptyBody","As classificações aparecerão assim que os resultados forem lançados.","Standings will appear as soon as results are entered."
"tournaments","tournaments.rankingFull","Classificação Completa","Full standings"
"tournaments","tournaments.rankingParticipants","{count} participantes","{count} participants"
"tournaments","tournaments.hitChampionAndRunner","Acertou o campeão e o vice","Picked champion and runner-up"
"tournaments","tournaments.hitChampion","Acertou o Campeão","Picked the champion"
"tournaments","tournaments.hitsLabel","ACERTOS","CORRECT"
"tournaments","tournaments.accuracyLabel","PRECISÃO","ACCURACY"
"tournaments","tournaments.finalScoreTitle","Placar da Final","Final score"
"tournaments","tournaments.finalScoreSubtitle","Defina quantos sets cada jogador vencerá na final.","Set how many sets each player will win in the final."
"tournaments","tournaments.finalScoreChampionMustHave","O campeão deve ter {n} sets.","The champion must have {n} sets."
"tournaments","tournaments.finalScoreConfirm","Confirmar Placar","Confirm score"
"tournaments","tournaments.player1","Jogador 1","Player 1"
"tournaments","tournaments.player2","Jogador 2","Player 2"
"ranking","ranking.stateTitle","Ranking Estadual - {state}","State ranking - {state}"
"ranking","ranking.nationalTitle","Ranking Nacional","National ranking"
"ranking","ranking.stateSubtitle","Veja os líderes do estado {state}","See the leaders in {state}"
"ranking","ranking.nationalSubtitle","Veja quem está liderando a temporada nacional","See who is leading the national season"
"ranking","ranking.podiumState","Pódio Estadual","State podium"
"ranking","ranking.podiumGeneral","Pódio Geral","Overall podium"
"ranking","ranking.tabNational","Nacional","National"
"ranking","ranking.tabState","Estadual","State"
"ranking","ranking.needState","Você precisa definir seu estado no seu perfil para visualizar o Ranking Estadual.","You need to set your state in your profile to view the state ranking."
"ranking","ranking.noParticipants","Nenhum participante ainda","No participants yet"
"ranking","ranking.beFirst","Seja o primeiro a participar de um torneio!","Be the first to join a tournament!"
"ranking","ranking.fullStandings","Classificação Completa","Full standings"
"ranking","ranking.participantsCount","{count} participantes","{count} participants"
"ranking","ranking.you","Você","You"
"ranking","ranking.hits","acertos","correct picks"
"ranking","ranking.accuracy","% de precisão","% accuracy"
"ranking","ranking.points","Pontos","Points"
"ranking","ranking.byTournamentTitle","Ranking por Torneio","Ranking by tournament"
"ranking","ranking.byTournamentSubtitle","Selecione um torneio para ver a classificação detalhada","Select a tournament to see the detailed standings"
"ranking","ranking.total","Total","Total"
"ranking","ranking.finished","Rankings: Finalizados","Rankings: Finished"
"ranking","ranking.active","Rankings: Ativos","Rankings: Active"
"ranking","ranking.notFoundTitle","Nenhum ranking encontrado","No rankings found"
"ranking","ranking.notFoundBody","Não encontramos torneios com rankings disponíveis para os filtros selecionados.","We couldn't find tournaments with rankings for the selected filters."
"ranking","ranking.tournamentTitle","Ranking: {name}","Ranking: {name}"
"ranking","ranking.tournamentSubtitle","Veja a classificação dos participantes neste torneio","See participant standings in this tournament"
"ranking","ranking.yourPosition","Sua posição no torneio","Your position in the tournament"
"ranking","ranking.pointsValue","{n} pontos","{n} points"
"rules","rules.title","Regras do Grupo","Pool rules"
"rules","rules.subtitle","Entenda como funciona a pontuação e as participações","Understand how scoring and participation work"
"rules","rules.deadlinesTitle","Início e Prazos","Start and deadlines"
"rules","rules.deadlinesBody","As inscrições nos torneios ficam disponíveis assim que eles entram no status “O que vem por aí”. Já os palpites podem ser enviados a partir da publicação da chave no TennisPool até o horário de início da primeira partida da chave principal.","Tournament enrollment opens when status is “Coming up”. Predictions can be submitted from the moment the draw is published on TennisPool until the start of the first main-draw match."
"rules","rules.editTitle","Alteração de Palpites","Changing predictions"
"rules","rules.editBody","Você pode alterar seus palpites quantas vezes quiser até o momento do bloqueio (início do torneio). Após o início das partidas, os palpites são congelados e não podem mais ser modificados.","You can change your predictions as often as you like until lock time (tournament start). After matches begin, predictions are frozen and can no longer be edited."
"rules","rules.scoringTitle","Como Pontuar","How scoring works"
"rules","rules.scoringBody","Você ganha pontos a cada acerto de vencedor. A pontuação é progressiva: rodadas finais valem mais. A última partida (Final) premia exclusivamente quem acerta o Campeão do torneio.","You earn points for every correct winner. Scoring is progressive: later rounds are worth more. The Final awards points only to those who pick the tournament Champion."
"rules","rules.bracketTitle","Chaveamento e Ranking","Bracket and ranking"
"rules","rules.bracketBody","Escolha quem avança em cada fase, palpitando no chaveamento até a final, e conquiste pontos progressivos para se destacar no ranking.","Pick who advances through every stage, predicting the bracket all the way to the final, and earn progressive points to climb the rankings."
"rules","rules.viewOthersTitle","Ver palpites dos adversários","View opponents' predictions"
"rules","rules.viewOthersBody","Para visualizar os palpites dos adversários, basta clicar em ""Ranking"", depois em ""Ranking por Torneio"" e, ao acessar o torneio, escolher um adversário.","To view opponents' predictions, go to ""Ranking"", then ""Tournament Ranking"", open a tournament and pick an opponent."
"rules","rules.importantTitle","Observação Importante","Important note"
"rules","rules.importantBody","Sempre que um tenista com o status de Lucky Loser (LL) vencer uma partida, ou em caso de vitória por W/O (Walkover), não haverá pontuação.","Whenever a player with Lucky Loser (LL) status wins a match, or in case of a W/O (Walkover) win, no points are awarded."
"rules","rules.scoringSystem","Sistema de Pontuação","Scoring system"
"rules","rules.pointsUnit","pontos","points"
"rules","rules.champion","Campeão","Champion"
"rules","rules.final","Final","Final"
"rules","rules.tiebreakTitle","Critérios de Desempate","Tie-break criteria"
"rules","rules.tiebreakIntro","Caso dois ou mais participantes terminem com a mesma pontuação total, os seguintes critérios serão aplicados nesta ordem:","If two or more participants finish with the same total points, the following criteria apply in order:"
"rules","rules.tiebreak1","Acertou o Campeão do Torneio;","Picked the tournament Champion;"
"rules","rules.tiebreak2","Acertou o Campeão e o Vice-Campeão;","Picked both Champion and Runner-up;"
"rules","rules.tiebreak3","Maior número total de acertos (vencedores de partidas);","Highest total number of correct match winners;"
"rules","rules.tiebreak4","Maior pontuação no Ranking Geral (pontuação acumulada nas etapas);","Highest overall ranking score (points accumulated across stages);"
"rules","rules.generalTitle","Regras do Ranking Geral","Overall ranking rules"
"rules","rules.generalComposed","O Ranking Geral será composto por <bold>29 torneios oficiais</bold>, distribuídos da seguinte forma:","The overall ranking is made up of <bold>29 official tournaments</bold>, distributed as follows:"
"rules","rules.generalSlam","4 Grand Slams","4 Grand Slams"
"rules","rules.generalMasters","9 Masters 1000","9 Masters 1000"
"rules","rules.generalAtp500","16 ATPs 500","16 ATP 500s"
"rules","rules.generalValid","29 torneios válidos para pontuação","29 tournaments count for scoring"
"rules","rules.generalScoringTitle","Sistema de Pontuação","Scoring system"
"rules","rules.generalScoring1","Cada torneio tem sua própria tabela de pontuação conforme a categoria.","Each tournament has its own scoring table by category."
"rules","rules.generalScoring2","Os pontos de todos os torneios são somados no Ranking Geral.","Points from all tournaments add up in the overall ranking."
"rules","rules.generalScoring3","Não há descarte de piores resultados — todos os torneios contam.","Worst results are not dropped — every tournament counts."
"rules","rules.generalScoring4","O ranking é atualizado em tempo real conforme os resultados oficiais.","The ranking updates in real time as official results come in."
"rules","rules.validityTitle","Validade dos Pontos","Point validity"
"rules","rules.validity1","Os pontos permanecem válidos durante toda a temporada.","Points remain valid for the entire season."
"rules","rules.validity2","Ao final da temporada, o ranking é zerado para o novo ciclo.","At the end of the season, the ranking resets for the new cycle."
"rules","rules.validity3","Premiações especiais podem ser definidas pela organização do grupo.","Special prizes may be defined by the pool organizers."
"profile","profile.title","Meu Perfil","My profile"
"profile","profile.subtitle","Gerencie suas informações e veja suas estatísticas","Manage your information and view your stats"
"profile","profile.admin","Administrador","Administrator"
"profile","profile.accountAge","{days} dias de conta","{days} days on the site"
"profile","profile.rankingPosition","Posição no Ranking","Ranking position"
"profile","profile.editTitle","Editar Perfil","Edit profile"
"profile","profile.passwordTitle","Alterar Senha","Change password"
"profile","profile.name","Nome *","Name *"
"profile","profile.email","E-mail *","Email *"
"profile","profile.emailLocked","O email não pode ser alterado","Email cannot be changed"
"profile","profile.nickname","Apelido (visível no site)","Nickname (visible on the site)"
"profile","profile.nicknameHint","Apenas o apelido será exibido publicamente","Only the nickname is shown publicly"
"profile","profile.useFirstName","Usar 1º nome","Use first name"
